,Дата,Время,Сайт,Отзыв
0,26 апреля 2010 года,11:58,ucheba-otziv.ru,"Спутник запускает куда ни попадя рожа деревенская, пальцы веером, лучше учили бы там как следует"
1,2 октября 2010 года,18:48,ucheba-otziv.ru,самый лучший университет мира) вот
2,28 марта 2011 года,23:21,ucheba-otziv.ru,"Университет,конечно, изменился после 90-х, но это не значит что там полный хаос.В МГУ преподают лучшие профессора, учатся лучшие студенты нашей страны, причем они ничем не уступают иностранным коллегам. Если не смог поступить какой-то "" не озаренный интеллектом"", это не говорит о том что университет плохой, а говорит о том что туда не берут таких"
3,13 апреля 2011 года,21:13,ucheba-otziv.ru,Университет хороший но в чёмто еть недостатк
4,25 августа 2011 года,22:38,ucheba-otziv.ru,"Пока что лучше МГУ трудно что-то найти на сегодняшний день! Это самый лучший ВУЗ страны, который дает сильное образование! Постыдились бы хрень всякую писать, неудачники! А насчет по знакомству на работу, согласна, сама б там поработала, но лапы там нет...А так престиж и деньги и признание"
5,6 февраля 2012 года,16:25,ucheba-otziv.ru,"Престиж, деньги, признание) кто сказал в этом сачастье?)) стериотипы- стериотипы)) навязанные нам)) эти ""неудачники"" как вы выразались, еще вас сделают)) уверяю))) и без МГУ можно многого добиться)"
6,25 февраля 2012 года,15:11,ucheba-otziv.ru,"Расскажите, пожалуйста, о филологическом факультете МГУ и о факультете иностранных языков и региноведения.Реально ли поступить в МГУ на бюджет"
7,23 марта 2012 года,19:51,ucheba-otziv.ru,"Скажите, где лучше учат иностранным языкам,в МГУ или в МГЛУ"
8,3 апреля 2012 года,17:37,ucheba-otziv.ru,я там не была но мне уже нравиться !!!!
9,4 апреля 2012 года,17:51,ucheba-otziv.ru,"Самый-самый!!! Всему что знаю и умею,научили именно там!!! А преподаватели самые лучшие!!"
10,11 апреля 2012 года,18:52,ucheba-otziv.ru,"скажите пожалуйста, возможно ли поступить в МГУ провинциалке"
11,11 апреля 2012 года,20:28,ucheba-otziv.ru,ЧЕМУ УЧАТЬ СТУДЕНТОВ В НАШИ ДНИ В МГУ ИМЕНИ ЛОМОНОСОВ
12,23 апреля 2012 года,17:22,ucheba-otziv.ru,"История создания

Факультет государственного управления МГУ имени М.В. Ломоносова создан в 1993 году, первый набор студентов проведен в 1994 году. Сегодня это одно из самых динамично развивающихся подразделений Московского университета, органично сочетающее в учебном процессе фундаментальную подготовку и современные достижения в теории и практике управления. В феврале 2011 г. факультет возглавил известный российский политолог и общественный деятель Вячеслав Никонов. В своем обращении на сайте факультета он обозначил свою основную цель на посту декана: вывести ФГУ на один уровень с ведущими мировыми центрами государственного администрирования.[1"
13,17 мая 2012 года,18:43,ucheba-otziv.ru,МГУ-супер!Преподавательский состав-лучший в России!Ректор-иолодец
14,24 мая 2012 года,15:07,ucheba-otziv.ru,хорошо прочищает мозг
15,24 мая 2012 года,15:09,ucheba-otziv.ru,"Провинциалам поступить возможно, но не на блатные специальности. ЮРфак, Журфак,Горючка - не для вас. Выберите естественные науки: очень хороший но очень сложный факультет геофизики, но есть шанс учиться на бюджете и жить в общаге"
16,13 июня 2012 года,03:01,ucheba-otziv.ru,"про филфак. если хотите выучить язык,если хотите ВЛАДЕТЬ им, а не  заморачиваться всякой дикой ересью типа 100500 видов согласных звуков в иранских языках, если не хотите сидеть сутками за книгами (русская литра плюс 2-3 предмета по зарубежным литературам), если не хотите бегать по 2 км на физре, читать философов по ночам в ушерб основному предмету, оформлять волокитную справку каждый раз после болезни (это я москвичам)... ах да, если вы хотите ВЫУЧИТЬ язык, и пришли на филфак с надеждой, что вам что-то дадут... вы сильно-сильно ошибетесь, подав туда документы. всю суть филфака можно высказать в одной фразе, услышанной мною на лекции по зарубежке (клянусь, чистая правда): ""у нас по программе 45 произведений. на семинарах успеем разобрать 15. в экзамен войдет ВСЕ."" сей принцип проповедуется абсолютно всеми преподами. безусловно, там прекрасные умненькие робятки, ишачащие сутками, там интеллигентные преподы (кроме маразматиков, конечно), там престиж и прекрасная атмосфера. и последнее... меньше чем со 280 из 300 баллов и не думайте о бюджете.  но я не говорю ""плохо"". там хорошо. но стоит сильно подумать перед тем, как на 4 года впрягаться в это ""фундаментальное образование"""
17,1 июля 2012 года,18:43,ucheba-otziv.ru,"нищебродский вуз, стипендию платят спустя месяц после того дня когда должны были начислить, преподаватели хамят, издеваются над студентами, правды там не найти, если не понравишься обязательно отчислят. никому, даже врагу своему там учиться не желаю"
0,02 июня 2011,09:59,professorrating.org,"А сколько судеб поломал этот МГУ! Я считаю МГУ-ошибкой своей молодости. Нас на 1-м курсе собрали и сказали, что после первой сессии отчислят 50%. Это сколько талантливых ребят, которые прошли конкурс и свободно могли бы учиться в других вузах были отчислены ""по плану""!. Там сумасшедшая статистика нервных срывов. В моем городе несколько человек  с такой сломанной судьбой.Я когда вернулась мне все говорили, что нужно статью написать про все, что там творится, Но это другое государство... Вот пишу первый раз , на российский сайт - благо появилась такая возможность-столько лет спустя...







"
1,15 декабря 2011,00:48,professorrating.org,"Да ладно? Что за бред ты тут пишешь? Какая сломанная судьба? Я лично нереально благодарна судьбе,что поступила сюда и ни чуть не сомневаюсь в своем выборе! А отчисляют уж совсем раздолбаев, которые не ходят на занятия и списать даже не могут ни от куда!







"
2,17 января 2014,22:07,professorrating.org,"Согласна с ""бывшей студенткой"", для чего зачисляются в главный ВУЗ России умные люди со всей страны?  А в первом же семестре начинается такой пресс, начинают выдавливать, особенно ребят, с реально ""светлыми головами"". Создается впечатление, что освобождают бюджетные места, и помогают  военкомату выполнять план по призыву. Для чего ломать судьбы детям? Сделайте прием сложней. По последним рейтингам к вам проще поступить, чем в другие ВУЗы Москвы. Но ломали и продолжают же 







"
3,21 июля 2015,15:49,professorrating.org,"Да, это правда. Когда я поступила в МГУ в 1988 году, после первой сессии отчислили 4 человек из 12. Но какие же это сломанные судьбы? Они поняли сразу, что это - не для них, и поступили в другой ВУЗ. 







"
4,28 июня 2016,12:30,professorrating.org,"Вы пишите абсолютную ерунду!!!! Моя дочь в этом году закончила первый курс юридического факультета. И вот, что я Вам скажу дорогая ""бывшая студентка"" просто надо УЧИТЬСЯ раз взяли такую планку. И никто вас не отчислит ни по какому ""плану"". Ерунда и еще раз ерунда. А на халяву, без труда конечно в МГУ не пройдет вариант. 







"
5,05 сентября 2017,20:00,professorrating.org,"Согласен. Многие в комментариях путают Юрфак, Эконом и прочие более легкие факультеты с такими факультетами как ВМК и Мехмат. Это ошибка. На ВМК действительно отчисляют много умных и талантливых ребят, иногда просто из прихоти предподавателя. А многие, кого стоило бы отчислить, умудряются как-то выживать тут и списывать. 







"
6,07 сентября 2017,16:55,professorrating.org,"На философский некому не рекомендую. Слава и престиж мгу это исключительно естественно научные факультеты. Это абсолютно ясно для  каждого кто хочет стать настоящим специалистом и приносить пользу обществу и себе.







"
7,01 июня 2018,17:51,professorrating.org,"Я полностью с этим согласна!







"
8,26 августа 2018,19:51,professorrating.org,"если вы так ноете, что в МГУ плохо и слишком жёстко, нафига вы все туда прётесь??







"
9,26 сентября 2018,09:49,professorrating.org,"О, какой бред!







"
10,19 марта 2019,20:27,professorrating.org,"Кто пишет гадости о МГУ, был скорее всего или убогим и угнетенным либо врет, либо вообще здесь не учился, МГУ полностью заслужило хороших отзывов, и патриотическая работа и спорт и образование и питание и концерты -все на высшем уровне. Умойтесь, недоброжелатели!







"
11,07 июня 2011,01:31,professorrating.org,"У нас никого по плану не отчисляли, но, конечно, на первом курсе было очень трудно из-за разных требований в школе и в вузе и большого объема работы







"
12,22 июня 2011,22:10,professorrating.org,"У нас за 2 семестра отчислили от силы человек 10 со всего курса и учиться не так уж сложно, может быть это зависит больше от факультета и от года поступления...







"
13,09 января 2012,04:20,professorrating.org,"Извините, может, у меня тоже недостаток информации, но я впервые о ТАКОМ слышу...у меня много знакомых и друзей учились в университете и ни разу ничего подобного никто не рассказывал....Не верится, если честно)







"
14,07 января 2014,00:46,professorrating.org,"В былом,прекрасное высшее учебное заведение,профессора,доценты-которые были гордостью Российской науки -где теперь все это???







"
15,03 октября 2018,17:05,professorrating.org,"Это всё теперь в Америке да в Европе. Бежали без оглядки из самой прекрасной страны на свете.







"
16,11 февраля 2012,20:47,professorrating.org,"Да уж, ну и бред!!! Отчисляют действительно самых раздолбаев!!! И то чтоб отчислили надо сильно постараться... А уровень получаемых знаний и востребованоость студентов после окончания универа, пожалуй самые высокие!!!







"
17,22 февраля 2012,01:13,professorrating.org,"Мои дети никогда не будут тут учиться, это слишком тяжело, молодости не будет, жизни не будет, если вы не гений, то очень тяжело







"
18,26 августа 2018,19:20,professorrating.org,"МГУ не для лентяев







"
19,15 октября 2018,15:15,professorrating.org,"Согласна. Но на то и лучший вуз страны. Просто так ничего не даётся. Тут надо молодость свою положить. Зато подготовка будет отличная.







"
20,30 апреля 2019,20:30,professorrating.org,"Вы преувеличиваете насчёт гениев. Это обычный вуз со своими недостатками и достоинствами. Студенты учатся самые обычные.







"
21,21 марта 2012,16:50,professorrating.org,"А я бы хотела, чтобы побольше отчисляли тунеядцев и лентяев, но которые учатся ПЛАТНО. Универ погряз в зарабатывании денег, а на качество знаний студентов всем наплевать.







"
22,17 сентября 2014,14:14,professorrating.org,"Каждому - свое в этой жизни!







"
23,01 июня 2018,17:53,professorrating.org,"Истинная правда! Совершено с вами согласна!







"
24,01 апреля 2012,15:19,professorrating.org,"а туда сложно поступить? на какие предметы в школе нужно прежде всего обратить внимание?







"
25,01 апреля 2012,15:20,professorrating.org,"если на философский...







"
26,01 апреля 2012,22:12,professorrating.org,"Трудно учиться на ''мужских'' факультетах. Представь себе мужское общежитие, мужчин преподавателей.  И уже не важно как ты училась в школе- это жизнь. Повзрослеешь- поймешь.







"
27,14 июня 2012,17:47,professorrating.org," МГУ лучший универ! это факт. а к слову о молодости и прочем. я ожидал что с личной жизнью будет покончено. как бы ни так! все шикарно и даже лучше. времени хватает на веселье и на учебу.







"
28,15 сентября 2017,18:14,professorrating.org,"Глупость какая. Я училась на мужском факультете. Если учиться, проблем не будет. Если конечно цель учиться.







"
29,19 июня 2012,18:03,professorrating.org,"ну на разных факультетах по-разному, на психфаке все очень мирно))







"
30,14 августа 2012,10:18,professorrating.org,"психфак женский факультет, но суперский. Но биофак уютнее:)







"
31,24 августа 2012,21:20,professorrating.org,"самообразование превыше всего, где бы не учился...







"
32,10 января 2013,14:30,professorrating.org,"Все хорошо в МГУ, но как же плохо кормят в столовых! Все время хочется кушать!!!!







"
33,19 декабря 2013,15:47,professorrating.org,"Полная чушь! Кормят прекрасно, только что из столовки вернулся =)







"
34,13 января 2013,00:28,professorrating.org,"Университет (ф-т психологии) оставил у меня очень печальные воспоминания: бюрократизм,  все делается для галочки, из года в год читаются одинаковые лекции, никого не отчисляют- можно пол года не появляться и все равно получать ""пятерки"" на экзаменах. Учиться было легко и скучно, вся практика - абсолютная фикция, засчитывают просто так. Я ожидала ЗНАЧИТЕЛЬНО большего.







"
35,08 февраля 2013,18:32,professorrating.org,"Подписываюсь под каждым словом бывшей студентки







"
36,08 февраля 2013,21:35,professorrating.org,"а мне на психфаке в целом нравиться, я не раздолбай, но и не отличник, без 3 просто учусь. Я не считаю, что тут очень трудно или нудно и скучно, вовсе нет...вопрос в том какое представление у конкретного человека об университете, а реальность с идеей крайне редко совпадает.







"
37,28 мая 2014,15:23,professorrating.org,"А что так с ошибками пишете? Все-таки, в МГУ учитесь))







"
38,11 февраля 2013,23:46,professorrating.org,"Не буду особо говорить о других факультетах, ибо все сильно различается. Очевидно существование совершенно никчемным факультетов, но есть и весьма сильные. В целом, образование на факультетах естественных/точных наук на порядок выше, чем у ""гуманитариев"". Такая ситуация отражает ситуацию с образованием в стране: гуманитарное образование, выросшее из совка и прочего марксизма-ленинизма, сильно западает, тогда как существуют сильные, как тут сказали, ""мужские"" факультеты мирового уровня, но их мало, и они страдают от большого количества проблем,в результате чего есть впечатление страшного ун







"
39,11 февраля 2013,23:53,professorrating.org,"ыния.На факультете психологии ситуация неплохая: много талантливых ученых и преподавателей, есть огонь в глазах и желание чего-то большего, чем стружек от распила. Однако много совка (мастурбации на Советских Психологов), унылых лекторов и дряхлеющих ученых, которым уже давно пора на пенсию (мало что в науке может сделать человек за 60, а если таких подавляющих большинство, то они еще и развитию препятствуют), устаревших и неактуальных знаний. ""Современная психология"" - это с 60-ых, что было с 80-ых не скажут почти ни на одном курсе. Всё это очень печально и убивает желание учиться.







"
40,12 февраля 2013,00:05,professorrating.org,"Однако, пообщавшись со студентами-психологами других вузов, понял, что психфак МГУ - это-таки лучшее психологическое образование в России. Хотя слишком большое внимание уделяется отечественной школе, она действительно неплоха и частично актуальна до сих пор. Факультет дает хорошее понимание истории своего предмета, что не столь актуально естественникам, но важно ученым-психологам, которым приходится мириться с отсутствием единой парадигмы а-ля ""теория эволюции Дарвина"". Психфак наполнен людьми, которым не наплевать на науку, что уже неплохо. Как не крути, а мгушные психологи - лучшие в стран







"
41,02 апреля 2013,13:04,professorrating.org,"А  у нас халявно было и весело - почва рулит!)))







"
42,01 октября 2013,23:37,professorrating.org,"Странно, что несомненный профессионализм и высокие моральные критерии, о которых во всеуслышание заявляет Садовничий В.А. допускают вероятность, когда  директором (деканом) ИСАА является тот, кто наваял ""липовую"" докторскую диссертацию. Об это достижении Абылгазиева И.И. (нынешний директор ИСАА) сообщила группа экспертов диссернета.Прежнй директор - Мейер М.С. - высококлавссный специалист и блестящий ученый, а его ""продолжатель"" списал свою диссертацию у других и выдал за свое творчество.Лозунг ""кадры решают все"" - это про МГУ!Одно радует, что в МГУ работает немалое количество замечательных преподавателей и выдающихся ученых!!!Абылгазиев И.И. - аномалия на теле МГУ.







"
43,06 декабря 2013,21:40,professorrating.org," МГУ - крупнейший вуз с крупнейшим бюрократическим аппаратом (со всеми вытекающими последствиями...). Повальной коррумпированности преподавателей не обнаружено.   Оценка на экзамене зависит от того, кому сдаёшь и может варьировать от двойки до пятёрки для одного и того же студента. В связи с этим, об объективности оценки речь не идёт.   Отличительная черта большинства студентов и преподавателей - максимализм и оптимизм (это сильно контрастирует с пессиместичным большинством нашего общества). Большинство студентов и преподавателей - умные и талантливые, но, так же, встречаются глупые и заурядные. В инфантилизме и безрассудстве многие преподаватели не уступают студентам. 







"
44,09 января 2014,20:30,professorrating.org,"Да, кормят отменно)) был на курсах в МГУ - радовался столовой :D в нашем универе такого качества питания и количества столовых и близко нет







"
45,04 февраля 2014,"17:20', '18:30",professorrating.org,"МГУ слишком большая организация, чтобы о ней судить однозначно. Университет достаточно сильно расколот на дружественные, враждебные и даже подчас пренебрежительно относящиеся друг друга факультеты. 
В целом естественные  факультеты весьма сильны - учатся и работают там простые (бедные, честные и умные) люди из разных уголков России и СНГ. 
Ряд факультетов университета исповедует специфическую систему образования (может быть она является исконной для всех классических университетов). В частности на химическом факультете процесс получения знаний больше основан на самообразовании, при условии, что тебе предоставляется учебное пространство - большое количество учебных часов - лекции, семинары, оснащенный практикум, библиотека, научный руководитель. Однако со стороны преподавателей больше слышно не столько изложение учебного материала, сколько вопросы к студенту с целью подвигнуть его на самостоятельное изучение курса. Причем к лекциям это тоже относится, ибо они представляют собой очень объемные презентации ставящие задачу прежде всего максимально расширить кругозор - кстати, ходить на них в мою бытность было не обязательно и почти никто и не ходил. Если студент хочет узнать что-то у преподавателя, то на лекциях это сделать не трудно (особенно, когда на неорганике работал академик Ю.Д. Третьяков), а вот на семинаре, либо вопрос должен быть хорошо сформулирован, либо (что чаще всего) тебе ответят ""почитайте"". Однако научно-образовательные дискуссии, безусловно, приветствуются. Хорошие преподаватели (исповедующие именно такой подход), безусловно, стремятся видеть в студенте равного себе и это подчас очень обнадеживает. 
Не случайно начал с того, что университет неоднороден, ибо на других факультетах дела обстоят несколько иначе. В частности на физфаке и биофаке, насколько мне известно, научная работа начинается вовсе не с первого курса, несколько иначе читаются лекции, и в этом смысле большая ответственность за образование студента лежит на преподавателе. Есть даже факультеты, на которых весьма посредственно относятся к научной работе вообще, есть, где больше закрывают глаза на учебу. Везде по-разному. В целом хочу всех предупредить - университет любит самостоятельных, творческих. Если вы привыкли повторять и зубрить за преподавателем, то для химфака, например, это точно не подойдет. С другой стороны, если вы и так можете учиться самостоятельно, то химфак (имеется ввиду химическая подготовка) может дать вам лишь обстановку для творчества и науки и больше ничего. 
Хочу обратиться ко всем тем выпускникам школ, кто собирается в МГУ и будет ездить на учебу из дома, а не общежития. С моей точки зрения и точки зрения моих товарищей, первым критерием должно быть удобство добираться до университета. Имейте ввиду (сужу по химфаку), что на первом курсе программа с 9 до 18:30 (до 23 пар в неделю) + время научной работы + домашняя + время в дороге + сон, и может выйти более 24 часов)). Если дорога более 1 часа, то стоит серьезно призадуматься. Помните о том, что причины неуспеваемости могут быть связаны с общей усталостью, и вы даже с золотой головой не сможете воспринять всего того, чем славится МГУ. Между прочим, это относится не только к МГУ, но и к ряду других вузов. Возможно, стоит сломать стереотип о том, что МГУ вне конкуренции: это не так. Практически по всем направлениям подготовки у университета среди московских вузов имеются достойные соперники на научно-педагогическим поприще, которые также дают счастливую путевку в жизнь талантливым ребятам.







"
46,10 февраля 2014,10:40,professorrating.org,"Сложно сдать вступительный экзамен в ВШГАаудита? 







"
47,10 февраля 2014,10:41,professorrating.org,"И вообще сильно тяжело учиться?







"
48,12 февраля 2014,14:57,professorrating.org,"Отвечаю про химический факультет. Учиться достаточно тяжело. 1) Много времени проводишь в стенах факультета, поэтому нельзя бояться оставаться после 18-30 (5 пара) на кафедре для работы еще на 2-3 часа (хотя бы 2-3 раза в неделю) - научная работа. 2) Необходимо сломать представление о том, что преподаватель все разжует, поэтому нужно быть приученным читать учебники и доп. литературу. Кстати, домашних работ как не странно мало (в смысле можно их не делать без всяких последствий, в отличие от техниченских вузов, например РХТУ или МИТХТ, где много расчетных проектов). Но контрольные все равно писать прийдется - сами понимаете.3) Нужно не бояться читать английские научные статьи (в начале ребята обычно шарахаются). Учить теории перевода будут, но научные сотрудники факультета (почему-то) хотят сразу видеть подготовленного студента. 4) Что бы кто не говорил, по окончанию нужно нацеливать себя только на иннновационные отрасли в работе (наука и высокие технологии), либо педагогика. Знаю много людей которые закончили химфак, а им такая работа не по душе, в итоге сейчас переучиваются на экономистов и тд. По окончанию других институтов, эта проблема стоим не так остро (наверное потому, что учиться проще и, поэтому не так жалко, что не устроился по специальности - чисто психологическая проблема). Лично у меня адаптация наступила только на 2 ой год. По жизни выходит так, что ребята закончившие разные институты подчас оказываются работать в одной и той же организации (причем как в России, так и за рубежом). И там никто не смотрит на твой диплом, а смотрят на личные качества - ответственность работоспособность, покладистость и тд. МГУ для среднестатистического выпускника не дает ровным счетом ни каких привелегий. Поэтому не морочте себе голову с научным МГУ, идите и получайте нормальное инженерное образование в вузах типа МАИ, МИФИ, РХТУ, МЭИ и тд. - такое образование самое универсальное, и учиться, говорят, комфортнее.







"
49,03 октября 2014,21:47,professorrating.org,"Очень интересный отзыв о химфаке МГУ, спасибо. Я на распутье между химфаком МГУ и ВХК. Судя по спискам поступивших, и туда и туда идут финалисты Всеросса. Где все-таки дают образование сильнее? Скажите, выпускники химфака востребованы в России, за границей?







"
50,23 марта 2014,23:46,professorrating.org,"Расскажите, пожалуйста, о ВШГАудит







"
51,24 апреля 2017,21:29,professorrating.org,"Рубеж 80-х 90-х, ГЗ, профком МГУ; конец отчётного года или как это у них там называется. И срочно надо освоить ск-ко-то, иначе в следующем году могут урезать.В итоге получаем липовую командировку на двоих во Владивостокский универ, к-ю до сих пор вспоминаем с ностальгией и...благодарностью родному профкому;-)







"
52,01 июня 2018,17:51,professorrating.org,"МГУ-это всего лишь бренд с завышенной самооценкой! Может раньше он и был лучший в стране,но не сейчас! Обшарпанный внутри,с облезлыми стенами,а преподы-да это ж ужас какой-то,старые маразматики! У нас что в стране нет молодых? Чему могужет научить древний дед или старуха которые еле ходят,не говоря уже о какой-то преподавательской деятельности?Зайдите на химфак и вы ужаснётесь! Я не понимаю куда смотрит декан этого факультета? Там преподавателям всем-очень далеко за 70-80 лет! Есть молодые учёные,но из-за того что «старьё « крепко засело там им не дают хода! Их рубят прям в зачатке!







"
