,Дата,Время,Отзыв
0,02 июня 2011,09:59,"А сколько судеб поломал этот МГУ! Я считаю МГУ-ошибкой своей молодости. Нас на 1-м курсе собрали и сказали, что после первой сессии отчислят 50%. Это сколько талантливых ребят, которые прошли конкурс и свободно могли бы учиться в других вузах были отчислены ""по плану""!. Там сумасшедшая статистика нервных срывов. В моем городе несколько человек  с такой сломанной судьбой.Я когда вернулась мне все говорили, что нужно статью написать про все, что там творится, Но это другое государство... Вот пишу первый раз , на российский сайт - благо появилась такая возможность-столько лет спустя...







"
1,15 декабря 2011,00:48,"Да ладно? Что за бред ты тут пишешь? Какая сломанная судьба? Я лично нереально благодарна судьбе,что поступила сюда и ни чуть не сомневаюсь в своем выборе! А отчисляют уж совсем раздолбаев, которые не ходят на занятия и списать даже не могут ни от куда!







"
2,17 января 2014,22:07,"Согласна с ""бывшей студенткой"", для чего зачисляются в главный ВУЗ России умные люди со всей страны?  А в первом же семестре начинается такой пресс, начинают выдавливать, особенно ребят, с реально ""светлыми головами"". Создается впечатление, что освобождают бюджетные места, и помогают  военкомату выполнять план по призыву. Для чего ломать судьбы детям? Сделайте прием сложней. По последним рейтингам к вам проще поступить, чем в другие ВУЗы Москвы. Но ломали и продолжают же 







"
3,21 июля 2015,15:49,"Да, это правда. Когда я поступила в МГУ в 1988 году, после первой сессии отчислили 4 человек из 12. Но какие же это сломанные судьбы? Они поняли сразу, что это - не для них, и поступили в другой ВУЗ. 







"
4,28 июня 2016,12:30,"Вы пишите абсолютную ерунду!!!! Моя дочь в этом году закончила первый курс юридического факультета. И вот, что я Вам скажу дорогая ""бывшая студентка"" просто надо УЧИТЬСЯ раз взяли такую планку. И никто вас не отчислит ни по какому ""плану"". Ерунда и еще раз ерунда. А на халяву, без труда конечно в МГУ не пройдет вариант. 







"
5,05 сентября 2017,20:00,"Согласен. Многие в комментариях путают Юрфак, Эконом и прочие более легкие факультеты с такими факультетами как ВМК и Мехмат. Это ошибка. На ВМК действительно отчисляют много умных и талантливых ребят, иногда просто из прихоти предподавателя. А многие, кого стоило бы отчислить, умудряются как-то выживать тут и списывать. 







"
6,07 сентября 2017,16:55,"На философский некому не рекомендую. Слава и престиж мгу это исключительно естественно научные факультеты. Это абсолютно ясно для  каждого кто хочет стать настоящим специалистом и приносить пользу обществу и себе.







"
7,01 июня 2018,17:51,"Я полностью с этим согласна!







"
8,26 августа 2018,19:51,"если вы так ноете, что в МГУ плохо и слишком жёстко, нафига вы все туда прётесь??







"
9,26 сентября 2018,09:49,"О, какой бред!







"
10,19 марта 2019,20:27,"Кто пишет гадости о МГУ, был скорее всего или убогим и угнетенным либо врет, либо вообще здесь не учился, МГУ полностью заслужило хороших отзывов, и патриотическая работа и спорт и образование и питание и концерты -все на высшем уровне. Умойтесь, недоброжелатели!







"
11,07 июня 2011,01:31,"У нас никого по плану не отчисляли, но, конечно, на первом курсе было очень трудно из-за разных требований в школе и в вузе и большого объема работы







"
12,22 июня 2011,22:10,"У нас за 2 семестра отчислили от силы человек 10 со всего курса и учиться не так уж сложно, может быть это зависит больше от факультета и от года поступления...







"
13,09 января 2012,04:20,"Извините, может, у меня тоже недостаток информации, но я впервые о ТАКОМ слышу...у меня много знакомых и друзей учились в университете и ни разу ничего подобного никто не рассказывал....Не верится, если честно)







"
